epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.79,1.02765,3.00632,1.31037,0.53326,0.20731,0.22236,0.15866,1.0647,2.55271,1.34275,0.000330789,0.000330789,0.000330789
2,641.763,1.09267,2.05286,1.32455,0.64967,0.26641,0.24985,0.16676,1.1681,2.3704,1.45832,0.000642206,0.000642206,0.000642206
3,944.063,1.14913,1.85877,1.37112,0.26612,0.41995,0.34259,0.24032,1.12048,2.47111,1.3703,0.000931623,0.000931623,0.000931623
4,1245.64,1.11167,1.7579,1.32677,0.33947,0.47992,0.40264,0.27712,1.08067,1.95119,1.37285,0.000901,0.000901,0.000901
5,1547.75,1.07702,1.66094,1.30806,0.41615,0.52073,0.46265,0.32727,1.01561,1.72983,1.3188,0.000868,0.000868,0.000868
6,1849.26,1.03511,1.50965,1.27913,0.36831,0.49589,0.40451,0.28844,1.02729,1.76073,1.36448,0.000835,0.000835,0.000835
7,2151.6,1.05574,1.5062,1.29061,0.67292,0.4499,0.48453,0.34936,1.02939,1.73913,1.29365,0.000802,0.000802,0.000802
8,2454.27,0.97832,1.38941,1.24669,0.6151,0.46523,0.5223,0.39746,0.95402,1.49465,1.22363,0.000769,0.000769,0.000769
9,2772.16,0.97172,1.31757,1.22516,0.66075,0.57101,0.56125,0.40635,0.9719,1.46107,1.26514,0.000736,0.000736,0.000736
10,3074.03,0.97195,1.28224,1.22941,0.68176,0.62143,0.62917,0.4714,0.9064,1.29691,1.18907,0.000703,0.000703,0.000703
11,3391.37,0.97143,1.2187,1.22732,0.54525,0.58868,0.62827,0.467,0.91936,1.31667,1.20019,0.00067,0.00067,0.00067
12,3700.5,0.93976,1.20362,1.21078,0.52088,0.62629,0.61374,0.46951,0.91973,1.26942,1.21452,0.000637,0.000637,0.000637
13,4012.29,0.90973,1.16227,1.19756,0.8111,0.51244,0.62869,0.48443,0.86248,1.15932,1.18542,0.000604,0.000604,0.000604
14,4326.86,0.90878,1.14149,1.18141,0.72694,0.637,0.66473,0.51173,0.88074,1.15523,1.19051,0.000571,0.000571,0.000571
15,4646.62,0.90156,1.11321,1.18438,0.4942,0.61337,0.61266,0.47488,0.84857,1.11746,1.13577,0.000538,0.000538,0.000538
16,4963.92,0.88213,1.05164,1.16692,0.79753,0.62289,0.68672,0.54542,0.86812,1.06046,1.15207,0.000505,0.000505,0.000505
17,5280.82,0.87675,1.03828,1.16683,0.70942,0.66903,0.65781,0.5142,0.8501,1.11928,1.16557,0.000472,0.000472,0.000472
18,5597.51,0.86587,0.98476,1.16051,0.69255,0.62199,0.62684,0.48634,0.81703,0.99549,1.12478,0.000439,0.000439,0.000439
19,5911.68,0.84997,1.01174,1.16789,0.57734,0.68467,0.70017,0.5555,0.8236,1.00958,1.13868,0.000406,0.000406,0.000406
20,6229.14,0.84879,0.96299,1.15296,0.80345,0.6668,0.71568,0.56333,0.8152,0.91786,1.12226,0.000373,0.000373,0.000373
21,6541.15,0.75982,0.92159,1.10739,0.76508,0.68585,0.7143,0.56737,0.78793,0.93504,1.10333,0.00034,0.00034,0.00034
22,6850.37,0.73489,0.8596,1.08525,0.62795,0.65997,0.69973,0.55681,0.78617,0.93157,1.10498,0.000307,0.000307,0.000307
23,7163.89,0.72826,0.82914,1.0685,0.60035,0.61556,0.68548,0.54016,0.78402,0.92034,1.11305,0.000274,0.000274,0.000274
24,7468.25,0.70781,0.79262,1.0686,0.61958,0.67378,0.69381,0.54512,0.77664,0.95647,1.10474,0.000241,0.000241,0.000241
25,7777.82,0.70113,0.77576,1.05551,0.55657,0.76766,0.70762,0.56097,0.77022,0.94849,1.10296,0.000208,0.000208,0.000208
26,8088.65,0.68589,0.75088,1.04725,0.6304,0.7307,0.69996,0.55981,0.74098,0.88226,1.08456,0.000175,0.000175,0.000175
27,8401.7,0.67384,0.73239,1.04322,0.60018,0.70154,0.6847,0.54285,0.75692,0.91431,1.10622,0.000142,0.000142,0.000142
28,8713.44,0.66761,0.68951,1.04524,0.62673,0.7493,0.68805,0.54023,0.74568,0.91811,1.10051,0.000109,0.000109,0.000109
29,9026.89,0.64795,0.68335,1.03051,0.63958,0.7081,0.71502,0.56974,0.73718,0.85539,1.09097,7.6e-05,7.6e-05,7.6e-05
30,9340.62,0.64048,0.63965,1.03277,0.65636,0.74453,0.71585,0.57001,0.73044,0.8704,1.08755,4.3e-05,4.3e-05,4.3e-05
